"plotid","target_species_richness","composition","region_centred_ba","region_centred_coniferous","earthworm_biomass","fine_woody_debris","microbial_biomass_mineral","soil_c_ff_10","litter_decomp_day","nre","soil_cn_ff_10","wood_decomp_day","root_biomass","lai","leaf_litter_production","photo_eff_tot","tree_growth","tree_biomass","total_understorey_weight","sapling_growth","regeneration_seedlings","regeneration_juveniles","wue","resistance_insects","lack_browsing","no_pathogen_damage","tree.growth.recovery","tree.growth.resilience","tree.growth.resistance","tree.growth.stability"
"FIN01",2,"Piab.Pisy",0.376438251107143,0.249621174357143,0,171,135.63726,60.8984845200804,0.536363071660696,57.8336332384695,21.5344866133217,0.698147214973046,339.317279787452,3.02,505.852023806,28.645,2.308932827,64.44078354,9.104,1.811111111,0,3,1.46297398,99.806338028169,88.89,0.916666667,0.980252536,1.135944396,1.158828316,5.386478639
"FIN02",2,"Be.Piab",-0.450352341892857,-0.479826505642857,0.465,110,350.6804871,81.3684027365933,0.591447136893035,64.1153816773338,22.0153497478671,0.575689246912452,111.691703099752,2.16,451.345687372,22.784,1.976075831,46.6811564,66.16,NA,0,0,2.09630316,97.1424644243215,70,0.46,1.394507325,1.268891538,0.909921027,5.352737232
"FIN03",2,"Be.Piab",-0.732960317892857,-0.571875467642857,0.626,81,570.3907224,65.2907647776256,0.544524930187211,71.4833162309775,20.2999872701168,0.498393506212648,115.781171641254,1.86,513.196747471999,22.859,1.489750393,38.53642836,54.419,4.375,0,1,1.30659743,94.7617474203837,83.61,0,1.361136084,1.205347244,0.885544993,6.737100695
"FIN04",2,"Be.Piab",-0.231425636892857,-0.103864722642857,0,82,441.6660104,61.4738818164679,0.858987112776573,63.6980209958173,21.3182370961931,0.673644254796866,146.82244505669,3.64,505.187324068,17.621,2.287045104,50.62505884,28.123,3.2,0,1,1.98834327,97.2279673015272,51.61,0.37,1.651815778,1.558362993,0.943424208,3.225651513
"FIN05",2,"Be.Pisy",-0.337140583892857,0.0142035043571429,0.928,38,516.9786313,36.1664520256582,0.672705320351552,83.9771752994636,27.3338695305439,0.394692667839778,146.818262894493,2.13,340.759257457,37.568,1.275772004,50.97428708,56.983,3.658666667,0,3,1.83716902,98.0400548876103,69.39,0.516666667,1.225265205,0.992609687,0.810118236,8.832262133
"FIN06",1,"Piab",0.854207629107143,0.256982162357143,0,75,611.2198451,70.3616157286255,0.50858686853267,54.0305648622629,22.2212264988339,0.845013031254365,64.7584636487302,3.65,432.844771086,26.08,3.069558319,86.14782915,3.096,3.170654762,0,222,1.13019551,100,100,0.833333333,1.056308025,1.482458385,1.403433799,3.305882157
"FIN07",1,"Be",-0.510153831892857,-0.733851185642857,49.672,44,782.0702737,48.2444342730001,1.02729895025598,80.618308470863,22.0975244242553,0.970506227405982,263.776230936612,2.91,533.167207446999,6.163,1.867948152,47.34640323,67.014,NA,1,0,1.73590427,95.1833674709509,95,0.013333333,1.132627429,1.1273669,0.995355464,6.85322343
"FIN08",1,"Be",-0.635755477892857,-0.727152287642857,28.013,38,364.5905172,49.7289041126861,1.18764805421071,74.8956772860629,22.7705040581247,0.34403887306032,265.78409199595,2.44,469.288459670999,12.234,1.694521655,44.17569031,64.43,3.96,1,1,NA,96.7762944752672,94.05,0.01,1.1520195,1.131348975,0.98205714,6.514810445
"FIN09",1,"Pisy",0.128031731107143,0.253916912357143,0.204,65,376.4496449,50.1959031712326,0.718191968023205,92.4714320542784,25.8393442270586,0.621484119255221,182.483720674136,2.25,389.951793157999,66.972,1.415432488,58.08569337,92.971,3.45,1,1,1.65259952,100,92.05,1,1.05207858,0.985397531,0.936619707,8.006625446
"FIN10",1,"Piab",0.345490532107143,0.250806898357143,0,136,752.2739674,57.7272671860134,0.513248407468736,24.8244515006883,22.0602420799706,0.441181815167544,188.752332255539,3.04,290.163550248,33.357,2.879411347,68.35692385,6.204,3.5625,5,4,0.77316321,97.12542917941,100,0.966666667,1.333696763,1.85526172,1.391067124,3.051029844
"FIN11",1,"Be",-0.689482499892857,-0.712064456642857,36.865,76,483.754453,40.5450957173816,1.018280135711,78.6543688619763,20.7447634267495,0.453595063643289,148.079060254284,2.14,454.363958606,11.517,1.726588444,34.87886226,91.099,NA,1,0,NA,95.3541679250975,98.63,0.023333333,1.117227671,0.938157918,0.839719551,5.210156894
"FIN12",3,"Be.Piab.Pisy",0.355228180107143,0.00506673735714291,0.06,35,271.4806605,55.0192996148725,0.781293385927366,76.3871570415763,26.8584597236041,0.449162969527359,219.8757159087,3.6,608.483215388,50.135,2.424685167,54.03061597,18.5,1.6,1,1,1.27976113,98.7289713303367,89.57,0.627777778,1.007605789,1.085855335,1.077658889,6.415287855
