"block ""plot"" ""full_species_original"" ""basal_area"""
"Finland ""FIN01"" ""Picea.abies"" 1.8448056625"
"Finland ""FIN01"" ""Pinus.sylvestris"" 0.534623868"
"Finland ""FIN02"" ""Betula.pendula"" 1.1000322665"
"Finland ""FIN02"" ""Betula.pubescens"" 0.0776019015"
"Finland ""FIN02"" ""Picea.abies"" 0.4075040465"
"Finland ""FIN03"" ""Betula.pendula"" 0.5958261005"
"Finland ""FIN03"" ""Betula.pubescens"" 0.4917489215"
"Finland ""FIN03"" ""Picea.abies"" 0.214955217"
"Finland ""FIN04"" ""Betula.pendula"" 0.350950403"
"Finland ""FIN04"" ""Betula.pubescens"" 0.3110697825"
"Finland ""FIN04"" ""Picea.abies"" 1.142044734"
"Finland ""FIN05"" ""Betula.pendula"" 0.422705828"
"Finland ""FIN05"" ""Pinus.sylvestris"" 1.25026464"
"Finland ""FIN06"" ""Picea.abies"" 2.8720322905"
"Finland ""FIN07"" ""Betula.pendula"" 1.515137007375"
"Finland ""FIN07"" ""Betula.pubescens"" 0.005542488"
"Finland ""FIN08"" ""Betula.pendula"" 1.348298182"
"Finland ""FIN08"" ""Betula.pubescens"" 0.0377864775"
"Finland ""FIN09"" ""Pinus.sylvestris"" 2.1336340125"
"Finland ""FIN10"" ""Picea.abies"" 2.351721999875"
"Finland ""FIN11"" ""Betula.pendula"" 1.31257324925"
"Finland ""FIN12"" ""Betula.pendula"" 0.147593879"
"Finland ""FIN12"" ""Betula.pubescens"" 0.4692804795"
"Finland ""FIN12"" ""Picea.abies"" 0.281587611"
"Finland ""FIN12"" ""Pinus.sylvestris"" 1.492256767"
"Finland ""FIN13"" ""Betula.pendula"" 0.0998833945"
"Finland ""FIN13"" ""Betula.pubescens"" 0.250898126"
"Finland ""FIN13"" ""Pinus.sylvestris"" 1.2504618005"
"Finland ""FIN14"" ""Pinus.sylvestris"" 1.491246614"
"Finland ""FIN15"" ""Betula.pendula"" 0.3829744525"
"Finland ""FIN15"" ""Betula.pubescens"" 0.02835655"
"Finland ""FIN15"" ""Pinus.sylvestris"" 1.3162882715"
"Finland ""FIN16"" ""Pinus.sylvestris"" 2.245810482"
"Finland ""FIN17"" ""Picea.abies"" 0.518478701"
"Finland ""FIN17"" ""Pinus.sylvestris"" 1.6843028765"
"Finland ""FIN18"" ""Picea.abies"" 2.5661570195"
"Finland ""FIN19"" ""Picea.abies"" 1.159182773"
"Finland ""FIN19"" ""Pinus.sylvestris"" 1.3064915155"
"Finland ""FIN20"" ""Betula.pendula"" 0.40470531"
"Finland ""FIN20"" ""Betula.pubescens"" 0.036927926"
"Finland ""FIN20"" ""Picea.abies"" 2.184784987"
"Finland ""FIN21"" ""Pinus.sylvestris"" 1.4177355965"
"Finland ""FIN22"" ""Picea.abies"" 1.2638058745"
"Finland ""FIN22"" ""Pinus.sylvestris"" 1.034652745"
"Finland ""FIN23"" ""Picea.abies"" 2.373845411"
"Finland ""FIN24"" ""Betula.pendula"" 0.131095237"
"Finland ""FIN24"" ""Betula.pubescens"" 0.4135979555"
"Finland ""FIN24"" ""Picea.abies"" 1.5221662505"
"Finland ""FIN25"" ""Betula.pendula"" 0.0434546455"
"Finland ""FIN25"" ""Betula.pubescens"" 0.311590569"
"Finland ""FIN25"" ""Picea.abies"" 1.5936656025"
"Finland ""FIN25"" ""Pinus.sylvestris"" 0.7557931755"
"Finland ""FIN26"" ""Betula.pendula"" 0.4474451505"
"Finland ""FIN26"" ""Betula.pubescens"" 0.224517894"
"Finland ""FIN26"" ""Picea.abies"" 0.9014861445"
"Finland ""FIN26"" ""Pinus.sylvestris"" 0.6712529525"
"Finland ""FIN27"" ""Picea.abies"" 0.4580682525"
"Finland ""FIN27"" ""Pinus.sylvestris"" 1.192888578"
"Finland ""FIN28"" ""Betula.pendula"" 0.667742553"
"Finland ""FIN28"" ""Betula.pubescens"" 0.2727499505"
"Finland ""FIN28"" ""Pinus.sylvestris"" 0.958864563"
"Germany ""GER01"" ""Fagus.sylvatica"" 2.745754525"
"Germany ""GER02"" ""Fagus.sylvatica"" 2.56423991502693"
"Germany ""GER03"" ""Acer.pseudoplatanus"" 0.352881801535898"
"Germany ""GER03"" ""Fraxinus.excelsior"" 2.89562354238235"
"Germany ""GER04"" ""Fraxinus.excelsior"" 3.67366525474193"
"Germany ""GER05"" ""Quercus.petraea"" 2.78238854209802"
"Germany ""GER05"" ""Quercus.robur"" NA"
"Germany ""GER06"" ""Fagus.sylvatica"" 1.0720307625"
"Germany ""GER06"" ""Quercus.petraea"" 3.8635013875"
"Germany ""GER07"" ""Picea.abies"" 2.3455226375"
"Germany ""GER08"" ""Picea.abies"" 3.545786275"
"Germany ""GER09"" ""Acer.pseudoplatanus"" NA"
"Germany ""GER09"" ""Fagus.sylvatica"" 1.1413904125"
"Germany ""GER09"" ""Fraxinus.excelsior"" 0.5846280125"
"Germany ""GER10"" ""Acer.pseudoplatanus"" 0.86351955962718"
"Germany ""GER10"" ""Fagus.sylvatica"" 0.85333764529358"
"Germany ""GER10"" ""Fraxinus.excelsior"" 0.540747684390726"
"Germany ""GER11"" ""Fagus.sylvatica"" 1.4795874375"
"Germany ""GER11"" ""Fraxinus.excelsior"" 1.7230138875"
"Germany ""GER12"" ""Fagus.sylvatica"" 1.39647465334567"
"Germany ""GER12"" ""Quercus.petraea"" 1.06694465"
"Germany ""GER13"" ""Acer.pseudoplatanus"" 0.3787681"
"Germany ""GER13"" ""Fraxinus.excelsior"" 0.94644895"
"Germany ""GER13"" ""Quercus.petraea"" 1.8439416125"
"Germany ""GER14"" ""Fagus.sylvatica"" 0.7273140875"
"Germany ""GER14"" ""Picea.abies"" 1.6256511625"
"Germany ""GER15"" ""Fraxinus.excelsior"" 1.1449251625"
"Germany ""GER15"" ""Picea.abies"" 2.67032195860844"
"Germany ""GER16"" ""Fagus.sylvatica"" 0.568976925"
"Germany ""GER16"" ""Picea.abies"" 1.84739394016319"
"Germany ""GER16"" ""Quercus.petraea"" 1.4910557375"
"Germany ""GER17"" ""Acer.pseudoplatanus"" 0.493647475"
"Germany ""GER17"" ""Fagus.sylvatica"" 1.8082406375"
"Germany ""GER18"" ""Acer.pseudoplatanus"" 0.885062125"
"Germany ""GER18"" ""Fraxinus.excelsior"" 2.6218615375"
"Germany ""GER19"" ""Acer.pseudoplatanus"" 0.4191624375"
"Germany ""GER19"" ""Fagus.sylvatica"" 0.2649295125"
"Germany ""GER19"" ""Quercus.petraea"" 1.794592575"
"Germany ""GER20"" ""Fagus.sylvatica"" 0.50892545"
"Germany ""GER20"" ""Fraxinus.excelsior"" 0.5985313625"
"Germany ""GER20"" ""Quercus.petraea"" 1.1792907875"
"Germany ""GER21"" ""Acer.pseudoplatanus"" 0.3473677375"
"Germany ""GER21"" ""Fagus.sylvatica"" 1.5239681875"
"Germany ""GER21"" ""Fraxinus.excelsior"" 0.25520895"
"Germany ""GER21"" ""Quercus.robur"" 0.3068359375"
"Germany ""GER22"" ""Fagus.sylvatica"" 1.8715126625"
"Germany ""GER22"" ""Fraxinus.excelsior"" 1.243485775"
"Germany ""GER23"" ""Fagus.sylvatica"" 1.9971926625"
"Germany ""GER23"" ""Picea.abies"" 1.0036529875"
"Germany ""GER23"" ""Quercus.petraea"" 0.841545425"
"Germany ""GER24"" ""Acer.pseudoplatanus"" 0.5823107875"
"Germany ""GER24"" ""Fagus.sylvatica"" 0.7309273875"
"Germany ""GER24"" ""Fraxinus.excelsior"" 0.3124129875"
"Germany ""GER25"" ""Acer.pseudoplatanus"" 0.497417875"
"Germany ""GER25"" ""Fagus.sylvatica"" 1.0015125"
"Germany ""GER25"" ""Quercus.petraea"" 1.039884175"
"Germany ""GER26"" ""Acer.pseudoplatanus"" 0.860122499999998"
"Germany ""GER26"" ""Fagus.sylvatica"" 0.5442925875"
